,headlineandshortdescr,shortdescrncaption,headlineandcaption
0,"('contradiction', ' 0.65%')","('neutral', ' 0.73%')","('contradiction', ' 0.76%')"
1,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
2,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
3,"('contradiction', ' 0.65%')","('contradiction', ' 0.74%')","('contradiction', ' 0.88%')"
4,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
5,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
6,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
7,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
8,"('contradiction', ' 0.65%')","('contradiction', ' 0.70%')","('contradiction', ' 0.75%')"
9,"('contradiction', ' 0.44%')","('neutral', ' 0.52%')","('entailment', ' 0.49%')"
10,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
11,"('contradiction', ' 0.44%')","('contradiction', ' 0.57%')","('contradiction', ' 0.70%')"
12,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
13,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
14,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
15,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
16,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
17,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
18,"('contradiction', ' 0.44%')","('contradiction', ' 0.56%')","('entailment', ' 0.40%')"
19,"('contradiction', ' 0.74%')","('entailment', ' 0.38%')","('contradiction', ' 0.45%')"
20,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
21,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
22,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
23,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
24,"('contradiction', ' 0.74%')","('contradiction', ' 0.77%')","('contradiction', ' 0.72%')"
25,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
26,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
27,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
28,"('contradiction', ' 0.74%')","('entailment', ' 0.41%')","('entailment', ' 0.45%')"
29,"('neutral', ' 0.56%')","('entailment', ' 0.40%')","('entailment', ' 0.56%')"
30,"('neutral', ' 0.56%')","('contradiction', ' 0.65%')","('neutral', ' 0.64%')"
31,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
32,"('neutral', ' 0.56%')","('contradiction', ' 0.42%')","('contradiction', ' 0.45%')"
33,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
34,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
35,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
36,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
37,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
38,"('neutral', ' 0.56%')","('contradiction', ' 0.60%')","('contradiction', ' 0.54%')"
39,"('neutral', ' 0.84%')","('contradiction', ' 0.41%')","('contradiction', ' 0.39%')"
40,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
41,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
42,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
43,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
44,"('neutral', ' 0.84%')","('contradiction', ' 0.73%')","('contradiction', ' 0.61%')"
45,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
46,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
47,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
48,"('neutral', ' 0.84%')","('contradiction', ' 0.48%')","('contradiction', ' 0.59%')"
49,"('neutral', ' 0.71%')","('entailment', ' 0.43%')","('entailment', ' 0.47%')"
50,"('neutral', ' 0.71%')","('neutral', ' 0.67%')","('neutral', ' 0.54%')"
51,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
52,"('neutral', ' 0.71%')","('contradiction', ' 0.46%')","('contradiction', ' 0.52%')"
53,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
54,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
55,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
56,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
57,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
58,"('neutral', ' 0.71%')","('contradiction', ' 0.51%')","('entailment', ' 0.56%')"
59,"('neutral', ' 0.75%')","('neutral', ' 0.54%')","('entailment', ' 0.54%')"
60,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
61,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
62,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
63,"('neutral', ' 0.75%')","('contradiction', ' 0.89%')","('contradiction', ' 0.89%')"
64,"('neutral', ' 0.75%')","('contradiction', ' 0.60%')","('contradiction', ' 0.61%')"
65,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
66,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
67,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
68,"('neutral', ' 0.75%')","('contradiction', ' 0.56%')","('contradiction', ' 0.61%')"
69,"('neutral', ' 0.85%')","('neutral', ' 0.91%')","('neutral', ' 0.92%')"
70,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
71,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
72,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
73,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
74,"('neutral', ' 0.85%')","('neutral', ' 0.55%')","('neutral', ' 0.52%')"
75,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
76,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
77,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
78,"('neutral', ' 0.85%')","('contradiction', ' 0.55%')","('contradiction', ' 0.52%')"
79,"('neutral', ' 0.72%')","('entailment', ' 0.47%')","('contradiction', ' 0.54%')"
80,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
81,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
82,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
83,"('neutral', ' 0.72%')","('contradiction', ' 0.59%')","('contradiction', ' 0.70%')"
84,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
85,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
86,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
87,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
88,"('neutral', ' 0.72%')","('contradiction', ' 0.42%')","('contradiction', ' 0.64%')"
89,"('neutral', ' 0.93%')","('neutral', ' 0.41%')","('neutral', ' 0.51%')"
90,"('neutral', ' 0.93%')","('contradiction', ' 0.48%')","('neutral', ' 0.87%')"
91,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
92,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
93,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
94,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
95,"('neutral', ' 0.93%')","('contradiction', ' 0.46%')","('neutral', ' 0.47%')"
96,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
97,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
98,"('neutral', ' 0.93%')","('contradiction', ' 0.49%')","('contradiction', ' 0.44%')"
